Index,Company name,Rating,Company type,Sector,Old,Company location,Employees,Reviews
0,TCS,3.8, Public ,IT Services & Consulting , 55 years old , Mumbai +280 more, 1 Lakh+ Employees ,62.2k Reviews
1,Accenture,4.1, Public ,IT Services & Consulting , 34 years old , Dublin +141 more, 1 Lakh+ Employees ,39.7k Reviews
2,Cognizant,3.9, Forbes Global 2000 ,IT Services & Consulting , 29 years old , Teaneck. New Jersey. +111 more, 1 Lakh+ Employees ,36.2k Reviews
3,Wipro,3.8, Public ,IT Services & Consulting , 78 years old , Bangalore/Bengaluru +243 more, 1 Lakh+ Employees ,29.8k Reviews
4,ICICI Bank,4, Public ,Banking , 29 years old , Mumbai +1183 more, 1 Lakh+ Employees ,29.4k Reviews
5,HDFC Bank,3.9, Public ,Banking , 29 years old , Mumbai +1413 more, 1 Lakh+ Employees ,28.9k Reviews
6,Infosys,3.9, Public ,IT Services & Consulting , 42 years old , Bengaluru/Bangalore +135 more, 1 Lakh+ Employees ,27.2k Reviews
7,Capgemini,3.9, Public ,IT Services & Consulting , 56 years old , Paris +87 more, 1 Lakh+ Employees ,25.2k Reviews
8,Tech Mahindra,3.7, Public ,IT Services & Consulting , 37 years old , Pune +232 more, 1 Lakh+ Employees ,23.7k Reviews
9,HCLTech,3.7, Public ,IT Services & Consulting , 32 years old , Noida +150 more, 1 Lakh+ Employees ,22.9k Reviews
10,Genpact,4, Public ,IT Services & Consulting , 26 years old , New York +79 more, 50k-1 Lakh Employees ,22.9k Reviews
11,Axis Bank,3.8, Public ,Banking , 30 years old , Mumbai +1216 more, 50k-1 Lakh Employees ,19.4k Reviews
12,Concentrix Corporation,3.9, Public ,BPO , 40 years old , Fremont +82 more, 10k-50k Employees ,18.2k Reviews
13,Amazon,4.2, Public ,Internet , 29 years old , Seattle +390 more, 1 Lakh+ Employees ,17.6k Reviews
14,IBM,4.1, Public ,Software Product , 112 years old , Armonk +129 more, 50k-1 Lakh Employees ,17.5k Reviews
15,Reliance Jio,4, Public ,Telecom , 16 years old , Navi Mumbai +1084 more, 50k-1 Lakh Employees ,17.5k Reviews
16,Larsen & Toubro Limited,4, Public ,Engineering & Construction , 85 years old , Mumbai +572 more, 1 Lakh+ Employees ,16.6k Reviews
17,HDB Financial Services,4, 16 years old ,NBFC , Ahmedabad +883 more,, 10k-50k Employees ,15.6k Reviews
18,Reliance Retail,3.9, 17 years old ,Retail , Navi Mumbai +884 more,, 1 Lakh+ Employees ,15.3k Reviews
19,Teleperformance,3.6, Forbes Global 2000 ,BPO , 45 years old , Paris +132 more, 10k-50k Employees ,14.7k Reviews
20,Vodafone Idea,4.2, Public ,Telecom , 5 years old , Gandhinagar +596 more, 10k-50k Employees ,14.2k Reviews
21,Deloitte,4, 178 years old ,Management Consulting , London +141 more,, 1 Lakh+ Employees ,12.3k Reviews
22,Kotak Mahindra Bank,3.8, Public ,Banking , 20 years old , Mumbai +505 more, 10k-50k Employees ,12.2k Reviews
23,BYJU'S,3.2, Indian Unicorn ,EdTech , 12 years old , Bangalore +284 more, 1k-5k Employees ,12.2k Reviews
24,Reliance Industries,4, 46 years old ,Oil & Gas , Navi Mumbai +577 more,, Public ,11.5k Reviews
25,Bharti Airtel,4, Public ,Telecom , 28 years old , Gurgaon/Gurugram +589 more, 10k-50k Employees ,10.7k Reviews
26,Tata Motors,4.2, Public ,Automobile , 78 years old , Pune +415 more, 10k-50k Employees ,9.9k Reviews
27,Flipkart,4.1, Public ,Internet , 16 years old , Bangalore +490 more, 10k-50k Employees ,8.6k Reviews
28,Ernst & Young,3.7, 21 years old ,Accounting & Auditing , London +84 more,, 10k-50k Employees ,8.5k Reviews
29,WNS,3.6, 27 years old ,BPO , Mumbai +28 more,, 10k-50k Employees ,8.3k Reviews
30,IndusInd Bank,3.7, Public ,Banking , 29 years old , Gurgaon/Gurugram +625 more, 10k-50k Employees ,7.9k Reviews
31,Mahindra & Mahindra,4.2, Public ,Automobile , 78 years old , Mumbai +439 more, 1 Lakh+ Employees ,7.8k Reviews
32,DXC Technology,3.9, Public ,IT Services & Consulting , 6 years old , Minato +59 more, 10k-50k Employees ,7.2k Reviews
33,Infosys BPM,3.9, 21 years old ,BPO , Bangalore/Bengaluru +53 more,, 10k-50k Employees ,7.1k Reviews
34,IDFC FIRST Bank,4, Public ,Banking , 5 years old , Mumbai +493 more, 10k-50k Employees ,6.8k Reviews
35,Maruti Suzuki,4.2, Public ,Automobile , 40 years old , New Delhi +392 more, 10k-50k Employees ,6.6k Reviews
36,Conneqt Business Solutions,3.8, 21 years old ,Analytics & KPO , Mumbai +182 more,, 10k-50k Employees ,6.5k Reviews
37,Bajaj Finserv,4, Public ,Insurance , 16 years old , Pune +776 more, 10k-50k Employees ,6.3k Reviews
38,Hinduja Global Solutions,4, Public ,Software Product , 23 years old , Bangalore/Bengaluru +85 more, 10k-50k Employees ,6.3k Reviews
39,iEnergizer,4.3, 23 years old ,BPO , Noida +19 more,, 10k-50k Employees ,6.3k Reviews
40,HSBC Group,4.1, Forbes Global 2000 ,Banking , 21 years old , Pune +55 more, 10k-50k Employees ,6.2k Reviews
41,Startek,3.2, Public ,BPO , 6 years old , Mumbai +58 more, 10k-50k Employees ,6k Reviews
42,Ericsson,4.3, Forbes Global 2000 ,Telecom , 147 years old , Stockholm +139 more, 10k-50k Employees ,5.9k Reviews
43,Mphasis,3.6, Public ,IT Services & Consulting , 25 years old , Bangalore/Bengaluru +41 more, 10k-50k Employees ,5.9k Reviews
44,PwC,3.7, Conglomerate ,Accounting & Auditing , 143 years old , London +77 more, 10k-50k Employees ,5.8k Reviews
45,HDFC Life,4.1, Public ,Insurance , 1 years old , Mumbai +475 more, 10k-50k Employees ,5.6k Reviews
46,Yes Bank,3.9, Public ,Banking , 19 years old , Mumbai +406 more, 10k-50k Employees ,5.5k Reviews
47,Dr. Reddy's,4.2, Public ,Pharma , 39 years old , Hyderabad/Secunderabad +149 more, 10k-50k Employees ,5.5k Reviews
48,Asian Paints,4.1, Public ,Chemicals , 81 years old , Mumbai +374 more, 10k-50k Employees ,5.5k Reviews
49,Cipla Pharmaceutical,4.1, Public ,Pharma , 88 years old , Mumbai +202 more, 10k-50k Employees ,5.4k Reviews
50,Sutherland Global Services,3.8, 37 years old ,IT Services & Consulting , Pittsford +44 more,, 10k-50k Employees ,5.3k Reviews
51,NTT DATA,4, 35 years old ,IT Services & Consulting , Chiyoda City +45 more,, 10k-50k Employees ,5.1k Reviews
52,Jana Small Finance Bank,3.8, Public ,Banking , 17 years old , Bangalore/Bengaluru +327 more, 10k-50k Employees ,5k Reviews
53,ICICI Prudential Life Insurance,4.1, Public ,Insurance , 23 years old , Mumbai +425 more, 10k-50k Employees ,5k Reviews
54,EXL Service,3.8, 24 years old ,Analytics & KPO , New York City +36 more,, 10k-50k Employees ,5k Reviews
55,KPMG,3.7, 36 years old ,Management Consulting , Bengaluru/Bangalore +69 more,, 10k-50k Employees ,5k Reviews
56,HCL Group,3.8, 47 years old ,IT Services & Consulting , Chennai +65 more,, 1 Lakh+ Employees ,4.9k Reviews
57,Udaan,4, Indian Unicorn ,Internet , 7 years old , Bangalore +328 more, 1k-5k Employees ,4.9k Reviews
58,UltraTech Cement,4.2, Public ,Building Material , 40 years old , Mumbai +390 more, 10k-50k Employees ,4.9k Reviews
59,Lupin,4.1, Public ,Pharma , 55 years old , Mumbai +148 more, 10k-50k Employees ,4.9k Reviews
60,Bandhan Bank,3.8, Public ,Banking , 22 years old , Kolkata +657 more, 50k-1 Lakh Employees ,4.7k Reviews
61,Paytm,3.5, Public ,FinTech , 13 years old , Noida +268 more, 5k-10k Employees ,4.7k Reviews
62,Bajaj Finance,4.1, 36 years old ,NBFC , Pune +692 more,, 10k-50k Employees ,4.7k Reviews
63,L&T Infotech,3.8, Public ,IT Services & Consulting , 27 years old , Mumbai +72 more, 10k-50k Employees ,4.6k Reviews
64,ITC,3.9, Public ,FMCG , 48 years old , Kolkata +270 more, 10k-50k Employees ,4.5k Reviews
65,Indian Army,4.7, Public ,Defence & Aerospace , 128 years old , New Delhi +292 more, 1 Lakh+ Employees ,4.5k Reviews
66,AU Small Finance Bank,4.2, Fortune India 500 ,Financial Services , 27 years old , Jaipur +336 more, 10k-50k Employees ,4.5k Reviews
67,Mindtree,4, Public ,IT Services & Consulting , 24 years old , Bangalore/Bengaluru +28 more, 10k-50k Employees ,4.4k Reviews
68,JP Morgan Chase,4.2, 23 years old ,10k-50k Employees , New York +27 more,, Forbes Global 2000 ,4.4k Reviews
69,Hindustan Unilever,4.2, Public ,FMCG , 90 years old , Mumbai +396 more, 10k-50k Employees ,4.4k Reviews
70,FIS,3.9, 55 years old ,IT Services & Consulting , Jacksonville +36 more,, 5k-10k Employees ,4.4k Reviews
71,Ujjivan Small Finance Bank,4.1, Public ,Banking , 6 years old , Bangalore/Bengaluru +400 more, 10k-50k Employees ,4.4k Reviews
72,Delhivery,4, Fortune India 500 ,Logistics , 12 years old , Delhi +544 more, 10k-50k Employees ,4.3k Reviews
73,Wells Fargo,4.2, Public ,Banking , 171 years old , San Francisco +18 more, 10k-50k Employees ,4.3k Reviews
74,IIFL Finance,3.8, Public ,Financial Services , 28 years old , Mumbai +590 more, 10k-50k Employees ,4.3k Reviews
75,Amazon Development Centre India,4.2,,Hyderabad/Secunderabad +48 more,,,,4.2k Reviews
76,Quess,3.9, Public ,Recruitment , 16 years old , Bangalore +446 more, 1 Lakh+ Employees ,4.1k Reviews
77,Home Credit Finance,4.1, 11 years old ,Financial Services , Gurugram +108 more,, 5k-10k Employees ,4.1k Reviews
78,TATA Steel,4.1, Public ,Iron & Steel , 116 years old , Mumbai +136 more, 1 Lakh+ Employees ,4k Reviews
79,Sun Pharmaceutical Industries,4.1, Public ,Pharma , 40 years old , Mumbai +172 more, 10k-50k Employees ,4k Reviews
80,Hexaware Technologies,3.7, Fortune India 500 ,IT Services & Consulting , 33 years old , Mumbai +34 more, 10k-50k Employees ,4k Reviews
81,OPPO,3.9, Public ,Consumer Electronics & Appliances , 19 years old , Dongguan +351 more, 10k-50k Employees ,3.9k Reviews
82,JSW Steel,3.9, Public ,Iron & Steel , 41 years old , Mumbai +113 more, 10k-50k Employees ,3.9k Reviews
83,Ashok Leyland,4.1, Public ,Automobile , 75 years old , Chennai +200 more, 10k-50k Employees ,3.9k Reviews
84,Shapoorji Pallonji Group,4.2, Conglomerate ,Engineering & Construction , 158 years old , Mumbai +149 more, 5k-10k Employees ,3.9k Reviews
85,Shriram Transport Finance,4.1, Public ,NBFC , 44 years old , Mumbai +737 more, 10k-50k Employees ,3.9k Reviews
86,Aurobindo Pharma,4, Public ,Pharma , 37 years old , Hyderabad/Secunderabad +56 more, 10k-50k Employees ,3.8k Reviews
87,Max Life Insurance,4.2, 23 years old ,Insurance , Gurgaon/Gurugram +344 more,, 10k-50k Employees ,3.8k Reviews
88,Muthoot Finance,3.6, Public ,NBFC , 84 years old , Kochi/Cochin +555 more, 10k-50k Employees ,3.8k Reviews
89,Vivo,4, Conglomerate ,Consumer Electronics & Appliances , 14 years old , Gurgaon/Gurugram +350 more, 5k-10k Employees ,3.8k Reviews
90,eClerx,3.5, Public ,IT Services & Consulting , 23 years old , Mumbai +15 more, 10k-50k Employees ,3.8k Reviews
91,Oracle,3.9, Public ,Software Product , 46 years old , Austin +37 more, 50k-1 Lakh Employees ,3.8k Reviews
92,Zydus Cadila,4.2, Public ,Pharma , 71 years old , Ahmedabad +121 more, 10k-50k Employees ,3.8k Reviews
